UID          PID    PPID  C STIME TTY          TIME CMD
michael      669     596  0 12:13 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
michael      671     669  1 12:13 tty2     00:00:07 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
michael      674     613  0 12:13 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rtkit        675       1  0 12:13 ?        00:00:00 /usr/libexec/rtkit-daemon
michael      683     613  0 12:13 ?        00:00:00 /usr/libexec/gvfsd
michael      702     613  0 12:13 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
michael      706     613  0 12:13 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
michael      724     613  0 12:13 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
michael      729     613  0 12:13 ?        00:00:00 /usr/libexec/goa-daemon
michael      748     613  0 12:13 ?        00:00:00 /usr/libexec/goa-identity-service
michael      750     613  0 12:13 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
michael      761     613  0 12:13 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
michael      765     613  0 12:13 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root         771       1  0 12:13 ?        00:00:00 /usr/lib/upower/upowerd
michael      796     669  0 12:13 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
michael      865     796  0 12:13 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
michael      882     613  0 12:13 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
michael      887     882  0 12:13 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
michael      896     613  0 12:13 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
michael      902     613  0 12:13 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
michael      917     613  2 12:13 ?        00:00:13 /usr/bin/gnome-shell
michael      954     917  0 12:13 ?        00:00:00 ibus-daemon --panel disable --xim
michael      958     954  0 12:13 ?        00:00:00 /usr/libexec/ibus-memconf
michael      960     954  0 12:13 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
michael      963     613  0 12:13 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
michael      966     613  0 12:13 ?        00:00:00 /usr/libexec/ibus-portal
michael      976     613  0 12:13 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
michael      980     613  0 12:13 ?        00:00:00 /usr/libexec/xdg-permission-store
michael      985     613  0 12:13 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
